[Measurement conditions]
Sample identification,
Comment - 1,"Configuration=Bracket Flat sample, Owner=User-1, Creation date=15/02/2016 11:36:32"
Comment - 2,"Goniometer=PW3050/60 (Theta/2Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001"
Comment - 3,"Sample stage=PW3071/xx Bracket"
Comment - 4,"Diffractometer system=XPERT-PRO"
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\Tass-10-90-30min.xrdmp, Identifier={FC66B191-8FD9-413B-BED1-E375FF3A0E03}"
Anode material,Cu
K-Alpha1 wavelength,1.5405980
K-Alpha2 wavelength,1.5444260
Ratio K-Alpha2/K-Alpha1,0.000
Divergence slit,Fixed,  1
Monochromator used,YES
Generator voltage, 40
Tube current, 30
File date and time,24/janv./2019 10:07
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,10.007000001,79.993792989
Scan step size,0.0334225
No. of points, 2094
Scan type,CONTINUOUS
Time per step,59.690
[Scan points]
Angle,Intensity
10.023711270,602.0
10.057133807,557.0
10.090556344,604.0
10.123978882,652.0
10.157401419,554.0
10.190823956,594.0
10.224246493,571.0
10.257669031,544.0
10.291091568,586.0
10.324514105,561.0
10.357936642,620.0
10.391359180,575.0
10.424781717,580.0
10.458204254,547.0
10.491626791,586.0
10.525049329,601.0
10.558471866,603.0
10.591894403,625.0
10.625316940,583.0
10.658739478,613.0
10.692162015,565.0
10.725584552,562.0
10.759007089,594.0
10.792429627,518.0
10.825852164,590.0
10.859274701,554.0
10.892697238,605.0
10.926119776,592.0
10.959542313,613.0
10.992964850,598.0
11.026387387,603.0
11.059809925,593.0
11.093232462,590.0
11.126654999,627.0
11.160077536,625.0
11.193500074,587.0
11.226922611,617.0
11.260345148,574.0
11.293767685,552.0
11.327190222,605.0
11.360612760,563.0
11.394035297,605.0
11.427457834,569.0
11.460880371,637.0
11.494302909,549.0
11.527725446,547.0
11.561147983,603.0
11.594570520,605.0
11.627993058,589.0
11.661415595,600.0
11.694838132,604.0
11.728260669,542.0
11.761683207,617.0
11.795105744,615.0
11.828528281,575.0
11.861950818,579.0
11.895373356,635.0
11.928795893,598.0
11.962218430,580.0
11.995640967,613.0
12.029063505,621.0
12.062486042,616.0
12.095908579,611.0
12.129331116,577.0
12.162753654,605.0
12.196176191,643.0
12.229598728,594.0
12.263021265,607.0
